/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('forward', 'red', None, 'left', 'forward')
 -- left : 0.00

('left', 'green', 'left', 'left', 'left')
 -- forward : 0.05
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'left', 'left', None)
 -- forward : -1.07
 -- right : 0.00
 -- None : 0.69
 -- left : 0.00

('right', 'green', 'left', 'left', 'right')
 -- forward : 0.00
 -- right : 0.19
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'right', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.04
 -- None : 0.00
 -- left : 0.00

('right', 'green', 'forward', 'left', 'forward')
 -- forward : 0.15
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'left', None, 'right')
 -- forward : 0.29
 -- right : 0.00
 -- None : 0.00
 -- left : 0.22

('left', 'red', 'right', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -4.04

('forward', 'red', 'forward', 'left', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.44
 -- left : 0.00

('left', 'green', 'right', 'left', None)
 -- forward : 0.00
 -- right : 0.24
 -- None : 0.00
 -- left : -2.05

('left', 'red', None, 'forward', None)
 -- forward : 0.00
 -- right : -5.39
 -- None : 0.78
 -- left : -16.47

('right', 'green', 'left', 'forward', 'forward')
 -- forward : 0.06
 -- right : 0.24
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'right', None, 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.25
 -- left : 0.00

('left', 'red', 'right', None, 'forward')
 -- forward : 0.00
 -- right : 0.21
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'forward', 'forward', 'left')
 -- forward : 0.19
 -- right : 0.00
 -- None : 0.00
 -- left : -2.01

('right', 'red', 'forward', 'left', 'forward')
 -- forward : -4.03
 -- right : 0.00
 -- None : 0.00
 -- left : -7.60

('forward', 'green', 'left', 'left', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'right', 'right', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.57
 -- left : 0.00

('left', 'green', None, 'left', None)
 -- forward : 0.33
 -- right : 0.08
 -- None : -1.31
 -- left : 0.82

('forward', 'red', 'left', None, 'left')
 -- forward : 0.00
 -- right : 0.19
 -- None : 0.83
 -- left : -0.91

('left', 'red', 'forward', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.22
 -- left : 0.00

('forward', 'green', None, None, None)
 -- forward : 1.85
 -- right : 0.64
 -- None : -2.47
 -- left : 0.67

('right', 'green', 'left', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.10

('forward', 'green', 'forward', None, 'forward')
 -- forward : 0.00
 -- right : 0.26
 -- None : -0.44
 -- left : -3.78

('left', 'red', 'left', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.19
 -- left : 0.00

('right', 'green', None, 'left', 'right')
 -- forward : 0.00
 -- right : 0.24
 -- None : 0.00
 -- left : 0.00

('left', 'red', None, None, 'left')
 -- forward : -4.90
 -- right : 0.44
 -- None : 0.21
 -- left : -1.83

('left', 'red', 'left', 'right', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.85
 -- left : 0.00

('forward', 'red', 'left', None, None)
 -- forward : -3.66
 -- right : 0.11
 -- None : 1.72
 -- left : -4.62

('right', 'red', 'forward', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -4.07

('forward', 'green', None, 'forward', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'right', 'forward', None)
 -- forward : 0.51
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'right', None, 'forward')
 -- forward : 0.00
 -- right : -0.00
 -- None : 0.00
 -- left : 0.00

('right', 'green', None, None, 'forward')
 -- forward : 0.00
 -- right : 0.77
 -- None : -0.50
 -- left : 0.00

('forward', 'green', 'left', 'forward', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.94
 -- left : 0.47

('left', 'red', 'forward', 'forward', None)
 -- forward : -4.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'green', None, None, 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.14

('forward', 'red', 'right', None, None)
 -- forward : -1.82
 -- right : 0.01
 -- None : 0.93
 -- left : -3.97

('right', 'green', None, 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.60
 -- left : 0.02

('right', 'red', 'right', 'left', None)
 -- forward : -1.08
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'left', 'left', 'forward')
 -- forward : -3.96
 -- right : 0.12
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'right', None, 'left')
 -- forward : 0.00
 -- right : 0.46
 -- None : 0.05
 -- left : 0.00

('forward', 'red', 'right', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.18
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'left', None, 'right')
 -- forward : 0.00
 -- right : 0.18
 -- None : 0.00
 -- left : -1.06

('left', 'red', None, 'forward', 'right')
 -- forward : -4.02
 -- right : 0.00
 -- None : 0.00
 -- left : -3.94

('right', 'green', 'left', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.15
 -- None : 0.00
 -- left : 0.00

('right', 'green', 'right', None, 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -2.07

('forward', 'green', 'left', None, 'forward')
 -- forward : 0.86
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'right', None, None)
 -- forward : 0.00
 -- right : 0.23
 -- None : 0.25
 -- left : -3.90

('right', 'green', 'forward', 'left', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'green', None, 'left', 'forward')
 -- forward : 0.12
 -- right : 0.84
 -- None : -1.26
 -- left : 0.00

('left', 'green', None, None, 'forward')
 -- forward : 0.16
 -- right : 0.31
 -- None : -0.51
 -- left : 0.87

('left', 'green', 'right', None, 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -1.90

('right', 'green', 'right', 'right', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.45
 -- left : -1.93

('right', 'green', 'right', None, 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.97
 -- left : 0.00

('left', 'red', 'right', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'green', 'left', 'forward', None)
 -- forward : 0.25
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'right', 'right', 'left')
 -- forward : -1.06
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'green', None, 'forward', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.48
 -- left : 0.91

('left', 'green', 'left', None, None)
 -- forward : 0.31
 -- right : 0.43
 -- None : -2.63
 -- left : 1.66

('forward', 'green', 'left', 'left', 'right')
 -- forward : 0.07
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'red', None, 'left', 'left')
 -- forward : 0.00
 -- right : 0.20
 -- None : 0.33
 -- left : -1.78

('forward', 'red', None, 'right', None)
 -- forward : -0.99
 -- right : 0.00
 -- None : 1.03
 -- left : -0.99

('right', 'green', 'forward', 'forward', 'right')
 -- forward : 0.10
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', None, 'forward', 'left')
 -- forward : -4.09
 -- right : 0.00
 -- None : 0.00
 -- left : -7.62

('forward', 'red', 'forward', None, None)
 -- forward : -4.23
 -- right : 0.18
 -- None : 1.74
 -- left : -4.67

('left', 'green', 'left', None, 'forward')
 -- forward : 0.02
 -- right : 0.07
 -- None : 0.00
 -- left : 0.59

('left', 'red', 'left', 'forward', None)
 -- forward : -7.52
 -- right : -2.00
 -- None : 0.00
 -- left : -10.93

('right', 'red', None, 'right', None)
 -- forward : -0.95
 -- right : 0.00
 -- None : 0.29
 -- left : -2.79

('left', 'red', None, 'left', 'forward')
 -- forward : 0.00
 -- right : -0.00
 -- None : 0.37
 -- left : -3.94

('left', 'green', None, 'right', 'left')
 -- forward : 0.07
 -- right : 0.12
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'right', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'red', None, 'right', 'right')
 -- forward : 0.00
 -- right : 0.01
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'left', None, 'forward')
 -- forward : -4.02
 -- right : 0.08
 -- None : 1.20
 -- left : -4.01

('forward', 'red', 'forward', None, 'right')
 -- forward : 0.00
 -- right : 0.13
 -- None : 0.42
 -- left : 0.00

('forward', 'green', None, 'left', 'forward')
 -- forward : 0.21
 -- right : 0.00
 -- None : 0.00
 -- left : -0.04

('left', 'green', 'forward', None, None)
 -- forward : 0.50
 -- right : 0.10
 -- None : -1.75
 -- left : 0.00

('forward', 'red', 'forward', None, 'left')
 -- forward : 0.00
 -- right : 0.37
 -- None : 0.13
 -- left : -1.89

('right', 'red', 'right', 'forward', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -7.64

('left', 'green', 'forward', 'forward', None)
 -- forward : 0.00
 -- right : 0.08
 -- None : -0.46
 -- left : 0.00

('left', 'red', 'left', 'forward', 'left')
 -- forward : -7.62
 -- right : 0.00
 -- None : 0.32
 -- left : -3.96

('right', 'red', 'left', None, 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.15
 -- left : 0.00

('forward', 'green', 'right', 'left', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.50
 -- left : 0.00

('left', 'green', None, 'right', 'right')
 -- forward : 0.00
 -- right : 0.06
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'forward', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'green', None, 'left', None)
 -- forward : 0.12
 -- right : 0.21
 -- None : -2.13
 -- left : 0.48

('forward', 'green', 'right', None, 'forward')
 -- forward : 0.00
 -- right : 0.02
 -- None : -0.95
 -- left : 0.00

('left', 'red', None, 'right', 'right')
 -- forward : 0.00
 -- right : 0.15
 -- None : 0.00
 -- left : -1.07

('left', 'green', 'right', None, 'forward')
 -- forward : 0.17
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'forward', 'forward')
 -- forward : 0.00
 -- right : -1.95
 -- None : 0.00
 -- left : -3.91

('left', 'red', None, 'right', None)
 -- forward : -1.89
 -- right : 0.20
 -- None : 0.37
 -- left : -0.94

('forward', 'red', 'right', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'forward', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.13
 -- left : 0.00

('left', 'green', None, None, 'left')
 -- forward : 0.50
 -- right : 0.15
 -- None : -1.33
 -- left : 0.17

('forward', 'red', None, None, None)
 -- forward : -6.37
 -- right : 0.52
 -- None : 2.02
 -- left : -6.19

('forward', 'green', None, 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'green', None, 'left', 'right')
 -- forward : -0.04
 -- right : 0.00
 -- None : 0.00
 -- left : 0.23

('forward', 'green', None, 'left', 'left')
 -- forward : 0.00
 -- right : 0.14
 -- None : -0.92
 -- left : 0.42

('forward', 'red', 'forward', 'right', None)
 -- forward : -1.88
 -- right : 0.08
 -- None : 0.00
 -- left : -0.92

('right', 'green', 'forward', 'forward', None)
 -- forward : 0.13
 -- right : 0.15
 -- None : 0.00
 -- left : 0.00

('right', 'green', None, 'left', 'left')
 -- forward : 0.26
 -- right : 0.60
 -- None : -0.55
 -- left : 0.00

('forward', 'red', 'left', 'right', None)
 -- forward : -1.94
 -- right : 0.21
 -- None : 0.14
 -- left : 0.00

('forward', 'red', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.13
 -- left : -3.97

('left', 'green', None, 'left', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : -1.02
 -- left : 0.21

('left', 'green', 'forward', None, 'right')
 -- forward : -0.02
 -- right : 0.00
 -- None : -0.41
 -- left : -2.07

('forward', 'red', None, None, 'left')
 -- forward : -1.97
 -- right : 0.41
 -- None : 0.00
 -- left : -1.89

('right', 'green', 'left', None, 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.55
 -- left : 0.00

('forward', 'green', 'left', 'left', None)
 -- forward : 0.00
 -- right : 0.23
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'left', None, 'left')
 -- forward : 0.00
 -- right : 0.18
 -- None : 0.00
 -- left : -0.95

('right', 'green', None, None, 'left')
 -- forward : 0.14
 -- right : 1.04
 -- None : 0.00
 -- left : 0.25

('forward', 'red', None, 'forward', 'forward')
 -- forward : -7.48
 -- right : -1.90
 -- None : 0.00
 -- left : -3.95

('right', 'green', 'forward', None, 'right')
 -- forward : 0.19
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'forward', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -2.09

('right', 'red', None, 'forward', None)
 -- forward : -10.83
 -- right : -3.83
 -- None : -0.00
 -- left : -4.08

('left', 'green', 'left', 'left', None)
 -- forward : 0.03
 -- right : 0.14
 -- None : -0.59
 -- left : 0.55

('left', 'red', 'left', 'left', 'left')
 -- forward : -1.09
 -- right : 0.00
 -- None : 0.26
 -- left : 0.00

('right', 'green', 'forward', 'right', 'right')
 -- forward : 0.10
 -- right : 0.00
 -- None : -0.44
 -- left : -2.03

('left', 'red', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.18
 -- left : 0.00

('forward', 'green', 'forward', None, 'left')
 -- forward : 0.00
 -- right : 0.09
 -- None : -0.47
 -- left : 0.00

('left', 'green', None, 'forward', 'forward')
 -- forward : 0.17
 -- right : 0.18
 -- None : -0.58
 -- left : 0.67

('right', 'green', None, 'forward', None)
 -- forward : 0.20
 -- right : 1.23
 -- None : -0.59
 -- left : 0.24

('right', 'red', None, None, 'left')
 -- forward : -2.86
 -- right : 0.21
 -- None : 0.36
 -- left : -1.80

('left', 'green', None, None, None)
 -- forward : 0.32
 -- right : 0.28
 -- None : -3.05
 -- left : 1.65

('left', 'green', 'forward', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', None, None, None)
 -- forward : -7.56
 -- right : 1.78
 -- None : 0.54
 -- left : -6.81

('right', 'red', 'right', 'right', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -4.06

('left', 'red', 'right', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.11
 -- left : 0.00

('forward', 'green', 'left', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.23

('left', 'red', 'left', 'left', 'right')
 -- forward : 0.00
 -- right : -0.04
 -- None : 0.20
 -- left : -0.97

('right', 'red', 'left', None, 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.03
 -- left : 0.00

('forward', 'green', None, 'forward', None)
 -- forward : 1.21
 -- right : 0.10
 -- None : 0.00
 -- left : 0.05

('forward', 'red', None, 'left', None)
 -- forward : -1.90
 -- right : 0.23
 -- None : 1.14
 -- left : 0.00

('right', 'green', 'forward', None, 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : -0.86
 -- left : -2.07

('right', 'red', 'forward', 'forward', None)
